emoji,unicode,r,g,b,hex_color
"💻",128187,120,188,221,"#78bcdd"
"🎤",127908,123,114,133,"#7b7285"
"🎨",127912,238,171,168,"#eeaba8"
"✈",9992,0,0,0,"#000000"
"🚀",128640,221,147,168,"#dd93a8"
"🚒",128658,172,103,136,"#ac6788"
"👮",128110,126,164,172,"#7ea4ac"
"🕵",128373,135,111,111,"#876f6f"
"♂",9794,0,0,0,"#000000"
"💂",128130,163,93,99,"#a35d63"
"🥷",129399,95,75,95,"#5f4b5f"
"👷",128119,243,167,65,"#f3a741"
"🫅",129733,237,144,66,"#ed9042"
"🤴",129332,185,160,116,"#b9a074"
"👸",128120,194,142,118,"#c28e76"
"👳",128115,228,190,125,"#e4be7d"
"👲",128114,212,101,86,"#d46556"
"🧕",129493,142,107,153,"#8e6b99"
"🤵",129333,161,126,106,"#a17e6a"
"👰",128112,215,184,137,"#d7b889"
"🤰",129328,198,142,115,"#c68e73"
"🫃",129731,159,167,128,"#9fa780"
"🫄",129732,246,146,48,"#f69230"
"🤱",129329,192,161,104,"#c0a168"
"🍼",127868,225,193,181,"#e1c1b5"
"👼",128124,220,182,94,"#dcb65e"
"🎅",127877,223,170,142,"#dfaa8e"
"🤶",129334,218,179,145,"#dab391"
"🎄",127876,123,154,86,"#7b9a56"
"🦸",129464,150,127,152,"#967f98"
"🦹",129465,156,98,110,"#9c626e"
"🧙",129497,112,150,173,"#7096ad"
"🧚",129498,214,181,115,"#d6b573"
"🧛",129499,159,97,96,"#9f6160"
"🧜",129500,167,177,79,"#a7b14f"
"🧝",129501,182,147,82,"#b69352"
"🧞",129502,163,135,161,"#a387a1"
"🧟",129503,85,105,119,"#556977"
"🧌",129484,143,110,76,"#8f6e4c"
"💆",128134,248,155,49,"#f89b31"
"💇",128135,244,130,56,"#f48238"
"🚶",128694,191,139,90,"#bf8b5a"
"🧍",129485,203,132,91,"#cb845b"
"🧎",129486,185,140,106,"#b98c6a"
"🦯",129455,156,114,140,"#9c728c"
"🦼",129468,87,126,152,"#577e98"
"🦽",129469,131,71,97,"#834761"
"🏃",127939,218,156,83,"#da9c53"
"💃",128131,211,81,61,"#d3513d"
"🕺",128378,118,148,168,"#7694a8"
"🕴",128372,107,83,107,"#6b536b"
"👯",128111,174,125,80,"#ae7d50"
"🧖",129494,234,162,112,"#eaa270"
"🧗",129495,191,174,161,"#bfaea1"
"🤺",129338,153,147,162,"#9993a2"
"🏇",127943,120,106,103,"#786a67"
"⛷",9975,0,0,0,"#000000"
"🏂",127938,156,169,194,"#9ca9c2"
"🏌",127948,195,136,105,"#c38869"
"🏄",127940,182,145,144,"#b69190"
"🚣",128675,122,172,168,"#7aaca8"
"🏊",127946,138,155,164,"#8a9ba4"
"⛹",9977,224,146,86,"#e09256"
"🏋",127947,178,128,83,"#b28053"
"🚴",128692,159,111,97,"#9f6f61"
"🚵",128693,118,153,110,"#76996e"
